CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 1.667969 1673544825.9300
MEM 9.570312 1673544826.0434
MEM 16.082031 1673544826.1539
MEM 21.660156 1673544826.2649
MEM 26.230469 1673544826.3772
MEM 29.894531 1673544826.4880
MEM 33.699219 1673544826.5982
MEM 36.933594 1673544826.7090
MEM 40.492188 1673544826.8199
MEM 44.808594 1673544826.9283
MEM 52.933594 1673544827.0391
MEM 59.343750 1673544827.1507
MEM 64.324219 1673544827.2617
MEM 67.152344 1673544827.3733
MEM 71.464844 1673544827.4852
MEM 72.703125 1673544827.5967
MEM 78.335938 1673544827.7082
MEM 82.460938 1673544827.8192
MEM 88.898438 1673544827.9292
MEM 89.281250 1673544828.0433
MEM 90.882812 1673544828.1542
MEM 95.222656 1673544828.2641
MEM 102.179688 1673544828.3737
MEM 111.402344 1673544828.4843
MEM 114.804688 1673544828.5957
MEM 118.878906 1673544828.7071
MEM 123.335938 1673544828.8183
MEM 131.984375 1673544828.9300
MEM 159.636719 1673544829.0401
MEM 168.320312 1673544829.1513
MEM 178.234375 1673544829.2617
MEM 188.375000 1673544829.3732
MEM 194.472656 1673544829.4854
MEM 203.980469 1673544829.5952
MEM 208.023438 1673544829.7055
MEM 214.550781 1673544829.8174
MEM 217.554688 1673544829.9274
MEM 221.296875 1673544830.0378
MEM 227.234375 1673544830.1383
MEM 230.445312 1673544830.2472
MEM 235.792969 1673544830.3557
MEM 239.402344 1673544830.4638
MEM 246.847656 1673544830.5715
MEM 249.351562 1673544830.6825
MEM 250.289062 1673544830.7922
MEM 257.714844 1673544830.9011
MEM 261.835938 1673544831.0092
MEM 266.011719 1673544831.1189
MEM 272.742188 1673544831.2277
MEM 274.769531 1673544831.3359
MEM 284.667969 1673544831.4453
MEM 285.007812 1673544831.5542
MEM 286.835938 1673544831.6631
MEM 287.859375 1673544831.7712
MEM 288.296875 1673544831.8795
MEM 288.945312 1673544831.9880
MEM 290.570312 1673544832.0977
MEM 294.402344 1673544832.2056
MEM 300.101562 1673544832.3153
MEM 304.363281 1673544832.4250
MEM 307.949219 1673544832.5324
MEM 309.605469 1673544832.6399
MEM 313.621094 1673544832.7483
MEM 315.703125 1673544832.8592
MEM 318.312500 1673544832.9677
MEM 344.324219 1673544833.0775
MEM 368.640625 1673544833.1850
MEM 581.730469 1673544833.2934
MEM 595.617188 1673544833.4025
MEM 597.273438 1673544833.5102
MEM 607.195312 1673544833.6184
MEM 607.476562 1673544833.7276
MEM 608.683594 1673544833.8363
MEM 609.347656 1673544833.9448
MEM 611.164062 1673544834.0532
MEM 612.156250 1673544834.1632
MEM 612.679688 1673544834.2706
MEM 618.957031 1673544834.3792
MEM 630.820312 1673544834.4872
MEM 631.457031 1673544834.5971
MEM 631.914062 1673544834.7059
MEM 631.917969 1673544834.8150
MEM 631.929688 1673544834.9243
MEM 631.953125 1673544835.0344
MEM 631.960938 1673544835.1443
MEM 631.968750 1673544835.2532
MEM 631.976562 1673544835.3610
MEM 631.988281 1673544835.4705
MEM 632.476562 1673544835.5793
MEM 633.386719 1673544835.6876
MEM 641.777344 1673544835.7972
MEM 641.531250 1673544835.9059
MEM 641.531250 1673544836.0163
MEM 641.531250 1673544836.1255
MEM 641.531250 1673544836.2342
MEM 641.531250 1673544836.3437
MEM 641.531250 1673544836.4521
MEM 641.531250 1673544836.5634
MEM 641.531250 1673544836.6724
MEM 641.535156 1673544836.7811
MEM 641.730469 1673544836.8909
MEM 642.324219 1673544836.9991
MEM 642.332031 1673544837.1072
MEM 642.339844 1673544837.2149
MEM 642.339844 1673544837.3231
MEM 642.343750 1673544837.4305
MEM 642.347656 1673544837.5393
MEM 642.347656 1673544837.6481
MEM 642.351562 1673544837.7581
MEM 642.355469 1673544837.8661
MEM 642.359375 1673544837.9757
MEM 642.652344 1673544838.0846
MEM 642.660156 1673544838.1930
MEM 642.386719 1673544838.3030
MEM 642.386719 1673544838.4115
MEM 642.390625 1673544838.5200
MEM 642.394531 1673544838.6275
MEM 642.398438 1673544838.7353
MEM 642.398438 1673544838.8451
MEM 642.398438 1673544838.9532
MEM 642.398438 1673544839.0631
MEM 643.449219 1673544839.1725
MEM 643.183594 1673544839.2824
MEM 643.183594 1673544839.3918
MEM 643.183594 1673544839.5007
MEM 643.183594 1673544839.6100
MEM 643.183594 1673544839.7193
MEM 643.183594 1673544839.8282
MEM 643.183594 1673544839.9364
MEM 643.183594 1673544840.0444
MEM 643.378906 1673544840.1549
MEM 643.468750 1673544840.2632
MEM 643.191406 1673544840.3733
MEM 643.191406 1673544840.4830
MEM 643.191406 1673544840.5933
MEM 643.191406 1673544840.7010
MEM 643.191406 1673544840.8093
MEM 643.191406 1673544840.9181
MEM 643.191406 1673544841.0270
MEM 643.191406 1673544841.1342
MEM 643.468750 1673544841.2436
MEM 643.203125 1673544841.3513
MEM 643.203125 1673544841.4606
MEM 643.203125 1673544841.5703
MEM 643.203125 1673544841.6794
MEM 643.199219 1673544841.7879
MEM 643.199219 1673544841.8952
MEM 643.199219 1673544842.0030
MEM 643.199219 1673544842.1099
MEM 643.199219 1673544842.2179
MEM 643.199219 1673544842.3260
MEM 644.234375 1673544842.4347
MEM 643.972656 1673544842.5442
MEM 643.972656 1673544842.6524
MEM 643.972656 1673544842.7613
MEM 643.972656 1673544842.8691
MEM 643.972656 1673544842.9781
MEM 643.972656 1673544843.0836
MEM 643.972656 1673544843.1923
MEM 643.972656 1673544843.3011
MEM 643.972656 1673544843.4094
MEM 643.972656 1673544843.5194
MEM 643.972656 1673544843.6280
MEM 643.972656 1673544843.7364
MEM 643.972656 1673544843.8443
MEM 643.972656 1673544843.9536
MEM 643.972656 1673544844.0617
MEM 643.972656 1673544844.1702
MEM 644.250000 1673544844.2773
MEM 644.250000 1673544844.3853
MEM 643.976562 1673544844.4935
MEM 643.976562 1673544844.6028
MEM 643.976562 1673544844.7121
MEM 643.976562 1673544844.8206
MEM 643.976562 1673544844.9307
MEM 643.976562 1673544845.0372
MEM 643.976562 1673544845.1451
MEM 643.976562 1673544845.2538
MEM 643.976562 1673544845.3631
MEM 643.976562 1673544845.4706
MEM 643.976562 1673544845.5791
MEM 643.972656 1673544845.6873
MEM 643.972656 1673544845.7971
MEM 643.972656 1673544845.9074
MEM 643.972656 1673544846.0159
MEM 643.972656 1673544846.1249
MEM 643.972656 1673544846.2344
MEM 643.972656 1673544846.3431
MEM 643.972656 1673544846.4521
MEM 644.628906 1673544846.5634
MEM 644.355469 1673544846.6725
MEM 644.355469 1673544846.7790
MEM 644.355469 1673544846.8880
MEM 644.355469 1673544846.9964
MEM 644.355469 1673544847.1046
MEM 644.355469 1673544847.2132
MEM 644.355469 1673544847.3228
MEM 644.355469 1673544847.4341
MEM 644.355469 1673544847.5431
MEM 644.355469 1673544847.6512
MEM 644.355469 1673544847.7607
MEM 644.355469 1673544847.8689
MEM 644.355469 1673544847.9782
MEM 644.355469 1673544848.0880
MEM 644.355469 1673544848.2019
MEM 644.355469 1673544848.3051
MEM 644.355469 1673544848.4138
MEM 644.355469 1673544848.5231
MEM 636.656250 1673544848.6350
MEM 639.160156 1673544848.7402
MEM 639.171875 1673544848.8492
MEM 630.320312 1673544848.9572
MEM 633.792969 1673544849.0651
MEM 634.132812 1673544849.1733
MEM 634.136719 1673544849.2850
MEM 634.136719 1673544849.3912
MEM 634.136719 1673544849.4992
MEM 634.136719 1673544849.6090
MEM 633.878906 1673544849.7172
MEM 529.582031 1673544849.8252
MEM 361.800781 1673544849.9347
MEM 361.808594 1673544850.0435
MEM 355.250000 1673544850.1515
MEM 355.250000 1673544850.2585
MEM 343.707031 1673544850.3691
