CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 1.667969 1673544413.2680
MEM 16.839844 1673544413.3871
MEM 25.265625 1673544413.4970
MEM 30.984375 1673544413.6031
MEM 37.285156 1673544413.7104
MEM 42.214844 1673544413.8232
MEM 53.906250 1673544413.9331
MEM 62.851562 1673544414.0432
MEM 68.003906 1673544414.1550
MEM 71.945312 1673544414.2592
MEM 80.511719 1673544414.3708
MEM 89.179688 1673544414.4748
MEM 89.585938 1673544414.5848
MEM 96.832031 1673544414.6871
MEM 109.972656 1673544414.8009
MEM 116.859375 1673544414.9121
MEM 122.558594 1673544415.0223
MEM 146.878906 1673544415.1372
MEM 169.105469 1673544415.2458
MEM 185.148438 1673544415.3569
MEM 198.003906 1673544415.4674
MEM 207.300781 1673544415.5774
MEM 216.375000 1673544415.6930
MEM 221.398438 1673544415.7970
MEM 229.042969 1673544415.8974
MEM 235.828125 1673544416.0041
MEM 242.714844 1673544416.1134
MEM 249.351562 1673544416.2237
MEM 256.828125 1673544416.3363
MEM 262.953125 1673544416.4468
MEM 272.507812 1673544416.5573
MEM 283.996094 1673544416.6693
MEM 286.074219 1673544416.7800
MEM 287.250000 1673544416.8870
MEM 288.101562 1673544416.9964
MEM 290.562500 1673544417.1064
MEM 300.300781 1673544417.2172
MEM 308.390625 1673544417.3273
MEM 310.035156 1673544417.4343
MEM 315.316406 1673544417.5451
MEM 326.234375 1673544417.6548
MEM 358.921875 1673544417.7656
MEM 577.890625 1673544417.8723
MEM 597.476562 1673544417.9791
MEM 606.683594 1673544418.0870
MEM 609.023438 1673544418.1943
MEM 611.847656 1673544418.3040
MEM 618.691406 1673544418.4140
MEM 631.707031 1673544418.5246
MEM 631.714844 1673544418.6332
MEM 631.722656 1673544418.7440
MEM 631.734375 1673544418.8589
MEM 631.750000 1673544418.9719
MEM 631.769531 1673544419.0781
MEM 631.777344 1673544419.1873
MEM 631.789062 1673544419.2880
MEM 632.167969 1673544419.4055
MEM 634.835938 1673544419.5092
MEM 642.554688 1673544419.6200
MEM 642.296875 1673544419.7283
MEM 642.296875 1673544419.8290
MEM 642.296875 1673544419.9292
MEM 642.296875 1673544420.0427
MEM 642.296875 1673544420.1472
MEM 642.300781 1673544420.2510
MEM 642.300781 1673544420.3529
MEM 642.300781 1673544420.4532
MEM 642.300781 1673544420.5679
MEM 642.980469 1673544420.6680
MEM 642.707031 1673544420.7778
MEM 642.714844 1673544420.8925
MEM 642.718750 1673544421.0051
MEM 642.722656 1673544421.1179
MEM 642.726562 1673544421.2281
MEM 642.726562 1673544421.3424
MEM 642.726562 1673544421.4524
MEM 642.730469 1673544421.5669
MEM 643.019531 1673544421.6773
MEM 642.753906 1673544421.7887
MEM 642.753906 1673544421.9027
MEM 642.757812 1673544422.0179
MEM 642.761719 1673544422.1183
MEM 642.765625 1673544422.2372
MEM 642.769531 1673544422.3381
MEM 642.769531 1673544422.4549
MEM 642.769531 1673544422.5694
MEM 643.835938 1673544422.6848
MEM 643.546875 1673544422.7958
MEM 643.546875 1673544422.8974
MEM 643.546875 1673544423.0113
MEM 643.546875 1673544423.1205
MEM 643.546875 1673544423.2369
MEM 643.546875 1673544423.3374
MEM 643.546875 1673544423.4523
MEM 643.546875 1673544423.5542
MEM 643.546875 1673544423.6693
MEM 643.816406 1673544423.7840
MEM 643.550781 1673544423.8955
MEM 643.550781 1673544423.9965
MEM 643.550781 1673544424.1032
MEM 643.550781 1673544424.2182
MEM 643.550781 1673544424.3182
MEM 643.550781 1673544424.4371
MEM 643.550781 1673544424.5374
MEM 643.550781 1673544424.6523
MEM 643.847656 1673544424.7539
MEM 643.562500 1673544424.8581
MEM 643.562500 1673544424.9671
MEM 643.562500 1673544425.0673
MEM 643.562500 1673544425.1680
MEM 643.562500 1673544425.2870
MEM 643.562500 1673544425.3874
MEM 643.562500 1673544425.5021
MEM 643.562500 1673544425.6030
MEM 643.562500 1673544425.7035
MEM 644.230469 1673544425.8052
MEM 643.960938 1673544425.9081
MEM 643.960938 1673544426.0119
MEM 643.960938 1673544426.1121
MEM 643.960938 1673544426.2139
MEM 643.960938 1673544426.3283
MEM 643.964844 1673544426.4283
MEM 643.964844 1673544426.5470
MEM 643.964844 1673544426.6474
MEM 643.964844 1673544426.7523
MEM 644.246094 1673544426.8534
MEM 643.972656 1673544426.9583
MEM 643.972656 1673544427.0606
MEM 643.972656 1673544427.1612
MEM 643.972656 1673544427.2625
MEM 643.972656 1673544427.3761
MEM 643.972656 1673544427.4870
MEM 643.972656 1673544427.5949
MEM 643.972656 1673544427.6973
MEM 643.972656 1673544427.8024
MEM 644.238281 1673544427.9040
MEM 643.972656 1673544428.0081
MEM 643.972656 1673544428.1182
MEM 643.972656 1673544428.2375
MEM 643.972656 1673544428.3574
MEM 643.972656 1673544428.4680
MEM 643.972656 1673544428.5736
MEM 643.972656 1673544428.6764
MEM 643.972656 1673544428.7875
MEM 637.304688 1673544428.9020
MEM 640.457031 1673544429.0128
MEM 634.109375 1673544429.1207
MEM 634.117188 1673544429.2309
MEM 634.121094 1673544429.3419
MEM 633.855469 1673544429.4541
MEM 361.683594 1673544429.5603
MEM 355.140625 1673544429.6750
MEM 349.691406 1673544429.7871
