CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 651.835938 1673544543.3094
MEM 654.480469 1673544543.4274
MEM 654.839844 1673544543.5403
MEM 654.480469 1673544543.6412
MEM 652.585938 1673544543.7471
MEM 666.117188 1673544543.8473
MEM 654.765625 1673544543.9483
MEM 654.847656 1673544544.0626
MEM 660.613281 1673544544.1748
MEM 662.402344 1673544544.2749
MEM 658.148438 1673544544.3773
MEM 671.296875 1673544544.4891
MEM 651.839844 1673544544.5972
MEM 651.839844 1673544544.7115
MEM 674.218750 1673544544.8126
MEM 649.027344 1673544544.9154
MEM 654.785156 1673544545.0292
MEM 654.480469 1673544545.1373
MEM 656.125000 1673544545.2471
MEM 662.402344 1673544545.3610
MEM 654.480469 1673544545.4709
MEM 668.683594 1673544545.5725
MEM 641.273438 1673544545.6790
MEM 654.484375 1673544545.7812
MEM 675.175781 1673544545.8942
MEM 672.636719 1673544546.0082
MEM 651.843750 1673544546.1133
MEM 673.980469 1673544546.2305
MEM 668.808594 1673544546.3386
MEM 653.476562 1673544546.4393
MEM 642.976562 1673544546.5512
MEM 655.886719 1673544546.6572
MEM 648.261719 1673544546.7646
MEM 642.988281 1673544546.8651
MEM 653.558594 1673544546.9700
MEM 652.656250 1673544547.0872
MEM 656.289062 1673544547.1894
MEM 677.082031 1673544547.2999
MEM 675.667969 1673544547.4114
MEM 661.644531 1673544547.5202
MEM 667.480469 1673544547.6272
MEM 675.527344 1673544547.7361
MEM 667.496094 1673544547.8444
MEM 656.300781 1673544547.9532
MEM 642.738281 1673544548.0571
MEM 653.574219 1673544548.1704
MEM 659.718750 1673544548.2743
MEM 670.687500 1673544548.3892
MEM 667.527344 1673544548.4904
MEM 656.320312 1673544548.6072
MEM 656.332031 1673544548.7238
MEM 667.539062 1673544548.8374
MEM 656.316406 1673544548.9571
MEM 662.761719 1673544549.0689
MEM 667.734375 1673544549.1704
MEM 663.878906 1673544549.2711
MEM 654.796875 1673544549.3729
MEM 659.593750 1673544549.4870
MEM 663.609375 1673544549.5872
MEM 663.878906 1673544549.6986
MEM 642.750000 1673544549.8131
MEM 655.960938 1673544549.9132
MEM 655.781250 1673544550.0222
MEM 642.750000 1673544550.1227
MEM 655.960938 1673544550.2387
MEM 674.207031 1673544550.3398
MEM 653.320312 1673544550.4481
MEM 655.960938 1673544550.5493
MEM 663.574219 1673544550.6573
MEM 656.253906 1673544550.7729
MEM 672.164062 1673544550.8871
MEM 655.964844 1673544550.9971
MEM 655.964844 1673544551.1160
MEM 656.226562 1673544551.2271
MEM 642.753906 1673544551.3392
MEM 658.968750 1673544551.4505
MEM 669.714844 1673544551.5680
MEM 656.292969 1673544551.6714
MEM 669.921875 1673544551.7822
MEM 665.855469 1673544551.8952
MEM 667.546875 1673544552.0032
MEM 676.105469 1673544552.1131
MEM 670.550781 1673544552.2222
MEM 656.316406 1673544552.3277
MEM 655.972656 1673544552.4474
MEM 642.769531 1673544552.5517
MEM 653.332031 1673544552.6637
MEM 655.972656 1673544552.7710
MEM 674.468750 1673544552.8826
MEM 646.019531 1673544552.9904
MEM 656.343750 1673544553.0992
MEM 676.375000 1673544553.2117
MEM 642.765625 1673544553.3152
MEM 642.765625 1673544553.4248
MEM 669.953125 1673544553.5389
MEM 642.765625 1673544553.6452
MEM 674.324219 1673544553.7536
MEM 653.636719 1673544553.8611
MEM 670.414062 1673544553.9699
MEM 651.804688 1673544554.0783
MEM 654.281250 1673544554.1900
MEM 656.929688 1673544554.3001
MEM 653.070312 1673544554.4148
MEM 652.851562 1673544554.5273
MEM 655.378906 1673544554.6371
MEM 642.167969 1673544554.7374
MEM 672.285156 1673544554.8520
MEM 655.394531 1673544554.9652
MEM 671.250000 1673544555.0754
MEM 671.792969 1673544555.1851
MEM 670.066406 1673544555.2954
MEM 673.488281 1673544555.4077
MEM 655.398438 1673544555.5121
MEM 652.753906 1673544555.6235
MEM 655.757812 1673544555.7381
MEM 675.574219 1673544555.8497
MEM 658.273438 1673544555.9573
MEM 669.382812 1673544556.0686
MEM 652.757812 1673544556.1823
MEM 668.304688 1673544556.2962
MEM 671.003906 1673544556.4107
MEM 663.054688 1673544556.5186
MEM 653.542969 1673544556.6270
MEM 655.789062 1673544556.7289
MEM 661.054688 1673544556.8294
MEM 652.757812 1673544556.9385
MEM 655.808594 1673544557.0532
MEM 674.519531 1673544557.1673
MEM 652.808594 1673544557.2763
MEM 652.804688 1673544557.3850
MEM 663.117188 1673544557.4979
MEM 663.371094 1673544557.5980
MEM 669.515625 1673544557.7105
MEM 663.085938 1673544557.8156
MEM 666.019531 1673544557.9275
MEM 667.023438 1673544558.0294
MEM 642.242188 1673544558.1371
MEM 669.285156 1673544558.2459
MEM 655.453125 1673544558.3580
MEM 655.839844 1673544558.4582
MEM 663.375000 1673544558.5686
MEM 673.503906 1673544558.6810
MEM 642.246094 1673544558.7856
MEM 655.824219 1673544558.8870
MEM 669.828125 1673544558.9959
MEM 655.820312 1673544559.1071
MEM 642.246094 1673544559.2138
MEM 655.457031 1673544559.3248
MEM 658.988281 1673544559.4316
MEM 655.457031 1673544559.5427
MEM 652.750000 1673544559.6525
MEM 675.164062 1673544559.7632
MEM 642.246094 1673544559.8712
MEM 652.812500 1673544559.9803
MEM 670.238281 1673544560.0881
MEM 655.457031 1673544560.1964
MEM 655.457031 1673544560.3078
MEM 642.246094 1673544560.4160
MEM 655.625000 1673544560.5251
MEM 653.066406 1673544560.6373
MEM 662.519531 1673544560.7520
MEM 669.671875 1673544560.8550
MEM 669.660156 1673544560.9557
MEM 655.457031 1673544561.0726
MEM 655.832031 1673544561.1891
MEM 662.089844 1673544561.2894
MEM 655.457031 1673544561.4051
MEM 663.066406 1673544561.5180
MEM 665.265625 1673544561.6300
MEM 673.843750 1673544561.7312
MEM 655.460938 1673544561.8446
MEM 664.183594 1673544561.9458
MEM 654.554688 1673544562.0524
MEM 654.554688 1673544562.1627
MEM 647.945312 1673544562.2671
MEM 645.917969 1673544562.3762
MEM 657.257812 1673544562.4793
MEM 655.125000 1673544562.5883
MEM 654.878906 1673544562.7023
MEM 641.664062 1673544562.8048
MEM 662.484375 1673544562.9190
MEM 660.515625 1673544563.0353
MEM 652.492188 1673544563.1375
MEM 662.523438 1673544563.2529
MEM 655.214844 1673544563.3548
MEM 673.371094 1673544563.4683
MEM 658.515625 1673544563.5750
MEM 654.875000 1673544563.6838
MEM 652.234375 1673544563.7942
MEM 654.875000 1673544563.9047
MEM 652.230469 1673544564.0135
MEM 656.496094 1673544564.1202
MEM 667.980469 1673544564.2292
MEM 652.234375 1673544564.3383
MEM 654.875000 1673544564.4480
MEM 666.441406 1673544564.5571
MEM 652.589844 1673544564.6659
MEM 652.230469 1673544564.7776
MEM 646.632812 1673544564.8862
MEM 655.167969 1673544564.9945
MEM 662.796875 1673544565.1047
MEM 668.085938 1673544565.2131
MEM 655.261719 1673544565.3226
MEM 652.230469 1673544565.4341
MEM 669.769531 1673544565.5441
MEM 654.503906 1673544565.6508
MEM 674.636719 1673544565.7615
MEM 652.136719 1673544565.8692
MEM 652.234375 1673544565.9801
MEM 655.246094 1673544566.0874
MEM 655.238281 1673544566.1945
MEM 655.089844 1673544566.3029
MEM 662.507812 1673544566.4101
MEM 651.343750 1673544566.5202
MEM 641.664062 1673544566.6334
MEM 648.136719 1673544566.7421
MEM 655.199219 1673544566.8531
MEM 655.222656 1673544566.9629
MEM 655.187500 1673544567.0709
MEM 657.855469 1673544567.1801
MEM 661.238281 1673544567.2902
MEM 674.652344 1673544567.3987
MEM 655.179688 1673544567.5071
MEM 662.796875 1673544567.6160
MEM 652.230469 1673544567.7252
MEM 641.664062 1673544567.8329
MEM 655.218750 1673544567.9429
MEM 662.796875 1673544568.0535
MEM 655.152344 1673544568.1638
MEM 660.710938 1673544568.2729
MEM 672.230469 1673544568.3902
MEM 641.664062 1673544568.4924
MEM 668.085938 1673544568.5931
MEM 671.289062 1673544568.6983
MEM 641.664062 1673544568.8052
MEM 652.234375 1673544568.9154
MEM 641.664062 1673544569.0229
MEM 672.960938 1673544569.1335
MEM 652.121094 1673544569.2431
MEM 654.875000 1673544569.3500
MEM 669.359375 1673544569.4587
MEM 651.425781 1673544569.5703
MEM 641.664062 1673544569.6790
MEM 655.253906 1673544569.7892
MEM 657.527344 1673544569.8987
MEM 641.664062 1673544570.0059
MEM 673.347656 1673544570.1156
MEM 654.875000 1673544570.2250
MEM 655.238281 1673544570.3349
MEM 669.238281 1673544570.4365
MEM 641.664062 1673544570.5430
MEM 654.460938 1673544570.6519
MEM 654.261719 1673544570.7619
MEM 647.066406 1673544570.8691
MEM 657.347656 1673544570.9698
MEM 657.066406 1673544571.0829
MEM 666.222656 1673544571.1921
MEM 657.406250 1673544571.2996
MEM 664.175781 1673544571.4079
MEM 657.066406 1673544571.5171
MEM 664.988281 1673544571.6251
MEM 671.257812 1673544571.7361
MEM 654.421875 1673544571.8452
MEM 673.515625 1673544571.9563
MEM 676.636719 1673544572.0656
MEM 664.019531 1673544572.1720
MEM 675.562500 1673544572.2809
MEM 657.066406 1673544572.3904
MEM 664.656250 1673544572.4955
MEM 657.066406 1673544572.6109
MEM 668.636719 1673544572.7133
MEM 654.421875 1673544572.8274
MEM 643.855469 1673544572.9473
MEM 678.195312 1673544573.0572
MEM 670.277344 1673544573.1632
MEM 661.789062 1673544573.2731
MEM 657.421875 1673544573.3830
MEM 657.367188 1673544573.4924
MEM 664.414062 1673544573.5998
MEM 666.847656 1673544573.7079
MEM 657.429688 1673544573.8161
MEM 655.492188 1673544573.9247
MEM 654.421875 1673544574.0356
MEM 657.066406 1673544574.1503
MEM 677.097656 1673544574.2553
MEM 674.179688 1673544574.3695
MEM 666.820312 1673544574.4705
MEM 664.199219 1673544574.5710
MEM 664.707031 1673544574.6873
MEM 657.066406 1673544574.7878
MEM 663.160156 1673544574.8979
MEM 674.277344 1673544575.0108
MEM 657.417969 1673544575.1148
MEM 677.734375 1673544575.2230
MEM 657.332031 1673544575.3334
MEM 667.632812 1673544575.4422
MEM 678.207031 1673544575.5522
MEM 657.066406 1673544575.6621
MEM 677.273438 1673544575.7723
MEM 672.742188 1673544575.8811
MEM 674.140625 1673544575.9904
MEM 677.718750 1673544576.1006
MEM 664.671875 1673544576.2090
MEM 674.898438 1673544576.3220
MEM 660.722656 1673544576.4273
MEM 667.632812 1673544576.5274
MEM 675.562500 1673544576.6283
MEM 654.414062 1673544576.7434
MEM 657.437500 1673544576.8473
MEM 678.179688 1673544576.9613
MEM 643.863281 1673544577.0772
MEM 675.835938 1673544577.1892
MEM 654.425781 1673544577.3030
MEM 664.468750 1673544577.4171
MEM 673.238281 1673544577.5178
MEM 651.753906 1673544577.6274
MEM 657.066406 1673544577.7302
MEM 657.406250 1673544577.8395
MEM 654.429688 1673544577.9524
MEM 675.648438 1673544578.0651
MEM 674.476562 1673544578.1761
MEM 643.859375 1673544578.2853
MEM 671.367188 1673544578.3945
MEM 654.429688 1673544578.5109
MEM 677.652344 1673544578.6171
MEM 657.070312 1673544578.7259
MEM 655.675781 1673544578.8353
MEM 649.820312 1673544578.9446
MEM 655.375000 1673544579.0592
MEM 658.386719 1673544579.1633
MEM 652.367188 1673544579.2696
MEM 653.648438 1673544579.3832
MEM 661.941406 1673544579.4900
MEM 676.855469 1673544579.6001
MEM 676.976562 1673544579.7079
MEM 653.648438 1673544579.8171
MEM 643.078125 1673544579.9270
