CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 1.667969 1673544643.2881
MEM 16.054688 1673544643.3958
MEM 25.152344 1673544643.5064
MEM 30.437500 1673544643.6111
MEM 36.835938 1673544643.7223
MEM 41.761719 1673544643.8328
MEM 53.804688 1673544643.9425
MEM 62.636719 1673544644.0529
MEM 68.226562 1673544644.1590
MEM 72.492188 1673544644.2706
MEM 79.925781 1673544644.3814
MEM 88.824219 1673544644.4906
MEM 89.308594 1673544644.6000
MEM 94.027344 1673544644.7073
MEM 104.757812 1673544644.8113
MEM 114.640625 1673544644.9216
MEM 119.492188 1673544645.0281
MEM 136.972656 1673544645.1432
MEM 159.753906 1673544645.2492
MEM 171.121094 1673544645.3573
MEM 178.554688 1673544645.4662
MEM 184.960938 1673544645.5761
MEM 190.660156 1673544645.6842
MEM 197.746094 1673544645.7923
MEM 203.484375 1673544645.9017
MEM 207.234375 1673544646.0114
MEM 216.515625 1673544646.1216
MEM 221.863281 1673544646.2330
MEM 228.304688 1673544646.3413
MEM 232.117188 1673544646.4524
MEM 238.394531 1673544646.5632
MEM 247.886719 1673544646.6741
MEM 249.617188 1673544646.7851
MEM 257.851562 1673544646.8957
MEM 262.578125 1673544647.0066
MEM 268.902344 1673544647.1181
MEM 273.074219 1673544647.2182
MEM 278.257812 1673544647.3292
MEM 284.296875 1673544647.4421
MEM 286.183594 1673544647.5524
MEM 287.796875 1673544647.6647
MEM 288.445312 1673544647.7674
MEM 290.578125 1673544647.8816
MEM 296.769531 1673544647.9926
MEM 306.066406 1673544648.1029
MEM 308.609375 1673544648.2131
MEM 314.238281 1673544648.3232
MEM 317.820312 1673544648.4340
MEM 348.871094 1673544648.5450
MEM 484.574219 1673544648.6570
MEM 596.070312 1673544648.7675
MEM 606.164062 1673544648.8792
MEM 608.449219 1673544648.9903
MEM 610.832031 1673544649.1017
MEM 611.917969 1673544649.2090
MEM 616.324219 1673544649.3190
MEM 628.394531 1673544649.4300
MEM 630.429688 1673544649.5365
MEM 664.523438 1673544649.6393
MEM 661.800781 1673544649.7527
MEM 665.226562 1673544649.8605
MEM 662.585938 1673544649.9691
MEM 664.492188 1673544650.0816
MEM 664.082031 1673544650.1930
MEM 631.582031 1673544650.3030
MEM 645.546875 1673544650.4130
MEM 642.945312 1673544650.5260
MEM 645.585938 1673544650.6333
MEM 644.105469 1673544650.7396
MEM 645.585938 1673544650.8492
MEM 645.585938 1673544650.9579
MEM 632.375000 1673544651.0660
MEM 656.664062 1673544651.1733
MEM 645.589844 1673544651.2808
MEM 645.929688 1673544651.3898
MEM 663.855469 1673544651.4982
MEM 642.949219 1673544651.6045
MEM 645.960938 1673544651.7175
MEM 645.593750 1673544651.8271
MEM 645.593750 1673544651.9328
MEM 639.492188 1673544652.0431
MEM 632.382812 1673544652.1521
MEM 642.949219 1673544652.2612
MEM 666.734375 1673544652.3694
MEM 643.511719 1673544652.4790
MEM 633.765625 1673544652.5876
MEM 661.691406 1673544652.7012
MEM 639.269531 1673544652.8081
MEM 652.132812 1673544652.9171
MEM 645.609375 1673544653.0251
MEM 645.902344 1673544653.1339
MEM 645.609375 1673544653.2432
MEM 637.406250 1673544653.3517
MEM 665.074219 1673544653.4633
MEM 642.925781 1673544653.5690
MEM 644.691406 1673544653.6790
MEM 652.351562 1673544653.7883
MEM 653.179688 1673544653.8993
MEM 666.757812 1673544654.0079
MEM 645.617188 1673544654.1163
MEM 645.957031 1673544654.2238
MEM 652.152344 1673544654.3331
MEM 666.757812 1673544654.4402
MEM 664.121094 1673544654.5512
MEM 645.625000 1673544654.6577
MEM 645.625000 1673544654.7663
MEM 642.984375 1673544654.8749
MEM 632.417969 1673544654.9834
MEM 645.984375 1673544655.0929
MEM 652.675781 1673544655.2024
MEM 660.613281 1673544655.3111
MEM 666.406250 1673544655.4221
MEM 666.285156 1673544655.5323
MEM 642.992188 1673544655.6355
MEM 632.421875 1673544655.7450
MEM 640.343750 1673544655.8533
MEM 645.941406 1673544655.9626
MEM 634.218750 1673544656.0704
MEM 653.554688 1673544656.1811
MEM 664.128906 1673544656.2899
MEM 666.292969 1673544656.4011
MEM 648.328125 1673544656.5063
MEM 645.640625 1673544656.6157
MEM 642.996094 1673544656.7237
MEM 632.429688 1673544656.8311
MEM 646.027344 1673544656.9406
MEM 643.000000 1673544657.0512
MEM 632.429688 1673544657.1573
MEM 646.000000 1673544657.2663
MEM 645.988281 1673544657.3741
MEM 666.785156 1673544657.4843
MEM 665.871094 1673544657.5941
MEM 643.000000 1673544657.7034
MEM 641.484375 1673544657.8104
MEM 645.886719 1673544657.9179
MEM 659.441406 1673544658.0263
MEM 652.507812 1673544658.1370
MEM 664.144531 1673544658.2491
MEM 645.656250 1673544658.3553
MEM 643.015625 1673544658.4639
MEM 643.011719 1673544658.5736
MEM 646.007812 1673544658.6817
MEM 650.074219 1673544658.7881
MEM 653.179688 1673544658.8992
MEM 652.269531 1673544659.0079
MEM 648.144531 1673544659.1171
MEM 649.593750 1673544659.2253
MEM 666.375000 1673544659.3362
MEM 666.316406 1673544659.4506
MEM 644.585938 1673544659.5527
MEM 632.464844 1673544659.6602
MEM 645.996094 1673544659.7686
MEM 645.968750 1673544659.8792
MEM 662.949219 1673544659.9867
MEM 664.171875 1673544660.0990
MEM 643.035156 1673544660.2031
MEM 646.050781 1673544660.3122
MEM 632.554688 1673544660.4199
MEM 633.527344 1673544660.5295
MEM 636.355469 1673544660.6396
MEM 642.183594 1673544660.7475
MEM 655.792969 1673544660.8581
MEM 642.585938 1673544660.9661
MEM 653.160156 1673544661.0752
MEM 653.164062 1673544661.1821
MEM 652.902344 1673544661.2924
MEM 655.773438 1673544661.4003
MEM 674.750000 1673544661.5099
MEM 642.332031 1673544661.6172
MEM 654.464844 1673544661.7255
MEM 649.625000 1673544661.8359
MEM 656.433594 1673544661.9426
MEM 676.253906 1673544662.0505
MEM 672.785156 1673544662.1616
MEM 642.335938 1673544662.2682
MEM 652.906250 1673544662.3810
MEM 642.335938 1673544662.4861
MEM 655.917969 1673544662.5944
MEM 661.386719 1673544662.7022
MEM 658.250000 1673544662.8123
MEM 662.039062 1673544662.9204
MEM 667.968750 1673544663.0273
MEM 676.691406 1673544663.1380
MEM 676.246094 1673544663.2510
MEM 670.488281 1673544663.3583
MEM 655.726562 1673544663.4632
MEM 655.890625 1673544663.5743
MEM 674.429688 1673544663.6813
MEM 676.214844 1673544663.7939
MEM 655.550781 1673544663.8998
MEM 655.550781 1673544664.0102
MEM 652.906250 1673544664.1196
MEM 655.882812 1673544664.2309
MEM 661.480469 1673544664.3381
MEM 655.796875 1673544664.4481
MEM 663.472656 1673544664.5564
MEM 655.921875 1673544664.6633
MEM 642.339844 1673544664.7715
MEM 655.878906 1673544664.8806
MEM 642.339844 1673544664.9910
MEM 649.304688 1673544665.0984
MEM 648.207031 1673544665.2091
MEM 655.816406 1673544665.3193
MEM 652.906250 1673544665.4297
MEM 661.898438 1673544665.5381
MEM 655.828125 1673544665.6479
MEM 664.097656 1673544665.7575
MEM 676.398438 1673544665.8661
MEM 652.910156 1673544665.9747
MEM 655.894531 1673544666.0831
MEM 668.761719 1673544666.1925
MEM 676.691406 1673544666.3031
