CMDLINE C:\Users\Tim\AppData\Local\Programs\Python\Python310\python.exe .\TD1\Lib.py
MEM 1.667969 1673544334.5981
MEM 15.585938 1673544334.7056
MEM 23.949219 1673544334.8173
MEM 29.945312 1673544334.9173
MEM 35.917969 1673544335.0189
MEM 41.343750 1673544335.1283
MEM 48.000000 1673544335.2347
MEM 59.601562 1673544335.3447
MEM 65.496094 1673544335.4559
MEM 71.238281 1673544335.5659
MEM 74.515625 1673544335.6734
MEM 82.000000 1673544335.7831
MEM 89.437500 1673544335.8947
MEM 91.203125 1673544336.0048
MEM 100.875000 1673544336.1151
MEM 111.621094 1673544336.2221
MEM 118.535156 1673544336.3330
MEM 124.082031 1673544336.4440
MEM 146.769531 1673544336.5552
MEM 169.804688 1673544336.6671
MEM 184.273438 1673544336.7711
MEM 195.378906 1673544336.8833
MEM 206.027344 1673544336.9993
MEM 216.398438 1673544337.1131
MEM 221.414062 1673544337.2153
MEM 229.656250 1673544337.3221
MEM 236.882812 1673544337.4301
MEM 242.703125 1673544337.5389
MEM 250.160156 1673544337.6498
MEM 258.523438 1673544337.7613
MEM 264.964844 1673544337.8679
MEM 274.472656 1673544337.9769
MEM 279.722656 1673544338.0789
MEM 286.796875 1673544338.1798
MEM 288.914062 1673544338.2896
MEM 290.019531 1673544338.3998
MEM 290.664062 1673544338.5078
MEM 292.140625 1673544338.6171
MEM 300.625000 1673544338.7253
MEM 309.187500 1673544338.8355
MEM 311.136719 1673544338.9436
MEM 317.042969 1673544339.0583
MEM 324.933594 1673544339.1693
MEM 356.996094 1673544339.2798
MEM 578.851562 1673544339.3881
MEM 598.593750 1673544339.4882
MEM 608.144531 1673544339.5981
MEM 610.761719 1673544339.7030
MEM 613.015625 1673544339.8127
MEM 619.867188 1673544339.9231
MEM 632.960938 1673544340.0309
MEM 633.539062 1673544340.1413
MEM 633.546875 1673544340.2510
MEM 633.562500 1673544340.3595
MEM 633.574219 1673544340.4621
MEM 633.582031 1673544340.5645
MEM 633.589844 1673544340.6792
MEM 633.601562 1673544340.7873
MEM 633.605469 1673544340.8959
MEM 634.125000 1673544341.0070
MEM 634.796875 1673544341.1162
MEM 637.187500 1673544341.2235
MEM 643.718750 1673544341.3308
MEM 643.476562 1673544341.4412
MEM 643.480469 1673544341.5524
MEM 643.484375 1673544341.6671
MEM 643.484375 1673544341.7771
MEM 643.484375 1673544341.8801
MEM 643.484375 1673544341.9871
MEM 643.484375 1673544342.0881
MEM 643.488281 1673544342.1993
MEM 643.488281 1673544342.3003
MEM 643.816406 1673544342.4014
MEM 643.644531 1673544342.5113
MEM 643.648438 1673544342.6201
MEM 643.648438 1673544342.7210
MEM 643.652344 1673544342.8323
MEM 643.652344 1673544342.9456
MEM 643.656250 1673544343.0480
MEM 643.660156 1673544343.1632
MEM 643.664062 1673544343.2771
MEM 643.664062 1673544343.3885
MEM 644.003906 1673544343.4955
MEM 643.730469 1673544343.6043
MEM 643.734375 1673544343.7140
MEM 643.738281 1673544343.8237
MEM 643.800781 1673544343.9316
MEM 643.800781 1673544344.0401
MEM 643.800781 1673544344.1480
MEM 643.800781 1673544344.2570
MEM 643.800781 1673544344.3629
MEM 643.800781 1673544344.4631
MEM 643.800781 1673544344.5763
MEM 644.277344 1673544344.6851
MEM 644.000000 1673544344.7946
MEM 644.000000 1673544344.9076
MEM 644.000000 1673544345.0181
MEM 644.000000 1673544345.1273
MEM 644.000000 1673544345.2344
MEM 644.000000 1673544345.3439
MEM 644.000000 1673544345.4532
MEM 644.000000 1673544345.5644
MEM 644.000000 1673544345.6730
MEM 644.000000 1673544345.7783
MEM 645.046875 1673544345.8870
MEM 644.781250 1673544345.9940
MEM 644.781250 1673544346.1030
MEM 644.781250 1673544346.2116
MEM 644.781250 1673544346.3203
MEM 644.781250 1673544346.4303
MEM 644.781250 1673544346.5456
MEM 644.781250 1673544346.6563
MEM 644.781250 1673544346.7571
MEM 644.781250 1673544346.8716
MEM 645.425781 1673544346.9730
MEM 645.164062 1673544347.0860
MEM 645.164062 1673544347.1874
MEM 645.164062 1673544347.3023
MEM 645.164062 1673544347.4040
MEM 645.164062 1673544347.5048
MEM 645.164062 1673544347.6050
MEM 645.164062 1673544347.7198
MEM 645.164062 1673544347.8204
MEM 645.164062 1673544347.9342
MEM 645.832031 1673544348.0432
MEM 645.554688 1673544348.1530
MEM 645.554688 1673544348.2670
MEM 645.554688 1673544348.3691
MEM 645.554688 1673544348.4718
MEM 645.554688 1673544348.5795
MEM 645.554688 1673544348.6929
MEM 645.554688 1673544348.8045
MEM 645.554688 1673544348.9191
MEM 645.554688 1673544349.0282
MEM 645.835938 1673544349.1432
MEM 645.562500 1673544349.2534
MEM 645.562500 1673544349.3623
MEM 645.562500 1673544349.4773
MEM 645.562500 1673544349.5795
MEM 645.562500 1673544349.6926
MEM 645.562500 1673544349.8015
MEM 645.562500 1673544349.9102
MEM 645.562500 1673544350.0192
MEM 646.218750 1673544350.1280
MEM 645.949219 1673544350.2362
MEM 645.949219 1673544350.3441
MEM 645.949219 1673544350.4533
MEM 645.949219 1673544350.5625
MEM 645.949219 1673544350.6741
MEM 645.949219 1673544350.7821
MEM 645.949219 1673544350.8913
MEM 645.949219 1673544351.0014
MEM 645.949219 1673544351.1107
MEM 637.941406 1673544351.2211
MEM 631.761719 1673544351.3290
